neighbourhood,id,price,review_scores_rating,population,number_of_reviews,house_price,latitude,longitude
Valley Glen,10862519.44,89.86538462,93.59615385,41187.67308,28.34615385,721800,34.18396341,-118.4188264
Valley Village,12328966.03,99.15517241,95.31034483,29161.86207,21.17241379,943200,34.16372917,-118.3960375
Van Nuys,10777067.68,102.1403509,91.01754386,43824.21053,16.19298246,585400,34.19125367,-118.4529723
Venice,11293704.35,200.6353086,94.61538462,28329.05128,45.03893637,1853900,33.99238832,-118.4654605
Watts,9906899,35,100,40952,4,438100,33.93656988,-118.2341302
West Adams,11213525.89,75.87058824,90.55294118,45854.14118,27.32941176,776700,34.03129491,-118.3066194
West Athens,7136501,297.5,95.5,69192.5,74,520200,33.92359384,-118.2984832
West Covina,8145467.739,114.5217391,89.39130435,35178,11.26086957,560200,34.04161974,-117.8988248
West Hills,11986889.07,112.1724138,94.13793103,33955.93103,15.5862069,690100,34.20446111,-118.6338128
West Hollywood,11014539.2,159.5428897,94.61996497,35023.1296,31.54290718,817100,34.08740427,-118.3671925
West Los Angeles,11111486.68,126.4158416,94.04950495,40250.37129,23.57425743,1524500,34.04220114,-118.4560963
West Puente Valley,10448429.25,42.5,97.5,30485,5.5,484800,34.05829081,-117.9732058
Westchester/Playa Del Rey,10524704.41,169.6022892,94.34939759,24592.4759,29.06626506,1192900,33.96378089,-118.4184474
Westlake,10839096.08,100.4545455,92.42727273,37038.92273,33.17727273,643100,34.05409727,-118.2744791
Westmont,11806907.5,56.5,95.25,58899.25,32.5,478500,33.93510681,-118.3100902
Westside,9969029.807,134.512521,93.35294118,34083.94958,18.51260504,1524500,34.0448138,-118.4268566
Westwood,11037457.41,148.8877005,91.96791444,46905.70053,18.02139037,1217200,34.06131596,-118.4420932
Whittier,11521701.78,109.3913043,97.26086957,27187.17391,23.56521739,570800,33.97418456,-118.0279643
Willowbrook,11529668.5,129.5,85,33912,43.5,429400,33.91720388,-118.2711589
Winnetka,11022924.47,82.82352941,95.11764706,45061,18.17647059,574800,34.20611846,-118.5755082
Woodland Hills/Warner Center,12238554.08,145.2357547,95.27358491,31949.83019,20.44339623,817300,34.16655021,-118.6080024
