zip,zip_lat,zip_lng,city,state_id,state_name,population,density,county_name
1027,42.29508,-72.74309000000001,Easthampton,MA,Massachusetts,17660,168.4,Hampshire
1028,42.05968,-72.49908,East Longmeadow,MA,Massachusetts,15720,469.2,Hampden
1029,42.19632,-73.04836,East Otis,MA,Massachusetts,789,19.2,Berkshire
1030,42.06886,-72.67999,Feeding Hills,MA,Massachusetts,11669,381.2,Hampden
1031,42.32933,-72.19821999999999,Gilbertville,MA,Massachusetts,1308,62.2,Worcester
1032,42.45029,-72.81300999999999,Goshen,MA,Massachusetts,570,18.7,Hampshire
1033,42.26081,-72.50363,Granby,MA,Massachusetts,6227,86.4,Hampshire
1034,42.08485,-72.95765,Granville,MA,Massachusetts,2021,10.9,Hampden
1035,42.35564,-72.56921,Hadley,MA,Massachusetts,5250,87.8,Hampshire
1036,42.06369,-72.4159,Hampden,MA,Massachusetts,5109,101.3,Hampden
1037,42.37011,-72.19771999999999,Hardwick,MA,Massachusetts,838,22.9,Worcester
1038,42.3855,-72.60699,Hatfield,MA,Massachusetts,2545,98.4,Hampshire
1039,42.406290000000006,-72.69362,Haydenville,MA,Massachusetts,1336,39.0,Hampshire
1040,42.212559999999996,-72.64107,Holyoke,MA,Massachusetts,39880,727.5,Hampden
1050,42.28784,-72.86986,Huntington,MA,Massachusetts,2530,25.5,Hampshire
1053,42.35348,-72.71161,Leeds,MA,Massachusetts,1685,126.8,Hampshire
1054,42.47363,-72.48746,Leverett,MA,Massachusetts,1851,31.4,Franklin
1056,42.19212,-72.45804,Ludlow,MA,Massachusetts,21103,299.6,Hampden
1057,42.091640000000005,-72.32431,Monson,MA,Massachusetts,8534,73.3,Hampden
1060,42.32228,-72.63129,Northampton,MA,Massachusetts,15284,540.2,Hampshire
1062,42.3219,-72.69279,Florence,MA,Massachusetts,11150,237.2,Hampshire
1063,42.3191,-72.63896,Northampton,MA,Massachusetts,430,4278.5,Hampshire
1066,42.40763,-72.65481,North Hatfield,MA,Massachusetts,64,34.7,Hampshire
1068,42.35002,-72.04606,Oakham,MA,Massachusetts,1902,35.3,Worcester
1069,42.18807,-72.30555,Palmer,MA,Massachusetts,8469,116.4,Hampden
1070,42.51853,-72.92390999999999,Plainfield,MA,Massachusetts,629,11.8,Hampshire
1071,42.16035,-72.86,Russell,MA,Massachusetts,1596,39.6,Hampden
1072,42.457370000000004,-72.41841,Shutesbury,MA,Massachusetts,1478,28.4,Franklin
1073,42.23083,-72.73857,Southampton,MA,Massachusetts,5792,79.4,Hampshire
1074,42.38661,-72.09427,South Barre,MA,Massachusetts,319,1448.3,Worcester
1075,42.25674,-72.57923000000001,South Hadley,MA,Massachusetts,17527,382.0,Hampshire
1077,42.05437,-72.77851,Southwick,MA,Massachusetts,9502,119.0,Hampden
1079,42.19437,-72.33014,Thorndike,MA,Massachusetts,692,237.5,Hampden
1080,42.18206,-72.36564,Three Rivers,MA,Massachusetts,2334,521.9,Hampden
1081,42.06234,-72.23094,Wales,MA,Massachusetts,1698,45.2,Hampden
1082,42.2948,-72.27776,Ware,MA,Massachusetts,10322,86.4,Hampshire
1083,42.20382,-72.19496,Warren,MA,Massachusetts,2888,70.8,Worcester
1084,42.39038,-72.88089000000001,West Chesterfield,MA,Massachusetts,176,7.4,Hampshire
1085,42.15371,-72.76958,Westfield,MA,Massachusetts,41117,265.9,Hampden
1086,42.1304,-72.79397,Westfield,MA,Massachusetts,687,7144.9,Hampden
1088,42.3901,-72.6478,West Hatfield,MA,Massachusetts,670,49.8,Hampshire
1089,42.12534,-72.65026999999999,West Springfield,MA,Massachusetts,28391,655.3,Hampden
1092,42.19972,-72.23727,West Warren,MA,Massachusetts,1394,80.2,Worcester
1093,42.43439,-72.65304,Whately,MA,Massachusetts,325,24.9,Franklin
1094,42.35945,-72.13847,Wheelwright,MA,Massachusetts,351,118.7,Worcester
1095,42.127629999999996,-72.42994,Wilbraham,MA,Massachusetts,14319,245.8,Hampden
1096,42.4042,-72.76817,Williamsburg,MA,Massachusetts,2217,27.0,Hampshire
1097,42.17603,-72.8313,Woronoco,MA,Massachusetts,111,22.9,Hampden
1098,42.3946,-72.94242,Worthington,MA,Massachusetts,1101,13.6,Hampshire
1103,42.104,-72.59204,Springfield,MA,Massachusetts,2479,2080.0,Hampden
1104,42.134029999999996,-72.56681,Springfield,MA,Massachusetts,22865,1692.5,Hampden
1105,42.09916,-72.57898,Springfield,MA,Massachusetts,12350,3836.5,Hampden
1106,42.047909999999995,-72.57176,Longmeadow,MA,Massachusetts,16021,667.1,Hampden
1107,42.12129,-72.6055,Springfield,MA,Massachusetts,11611,2974.5,Hampden
1108,42.08055,-72.55983,Springfield,MA,Massachusetts,26688,2766.1,Hampden
1109,42.11837,-72.54875,Springfield,MA,Massachusetts,30250,2145.9,Hampden
1118,42.09476,-72.52534,Springfield,MA,Massachusetts,14071,1511.0,Hampden
1119,42.12455,-72.51122,Springfield,MA,Massachusetts,14152,1539.2,Hampden
1128,42.094879999999996,-72.48814,Springfield,MA,Massachusetts,2631,911.2,Hampden
1129,42.12099,-72.48774,Springfield,MA,Massachusetts,7019,790.8,Hampden
1151,42.15294,-72.50877,Indian Orchard,MA,Massachusetts,8698,1417.7,Hampden
1199,42.12065,-72.6045,Springfield,MA,Massachusetts,0,0.0,Hampden
1201,42.44993,-73.27644000000001,Pittsfield,MA,Massachusetts,46504,339.2,Berkshire
1220,42.62372,-73.11718,Adams,MA,Massachusetts,8603,135.1,Berkshire
1222,42.05898,-73.32078,Ashley Falls,MA,Massachusetts,829,96.8,Berkshire
1223,42.31176,-73.0994,Becket,MA,Massachusetts,2314,12.8,Berkshire
1224,42.50662,-73.19745999999999,Berkshire,MA,Massachusetts,182,252.6,Berkshire
1225,42.562670000000004,-73.15484000000001,Cheshire,MA,Massachusetts,3117,47.9,Berkshire
1226,42.48168,-73.13991999999999,Dalton,MA,Massachusetts,6945,101.7,Berkshire
1229,42.27799,-73.33204,Glendale,MA,Massachusetts,95,50.0,Berkshire
1230,42.18476,-73.34368,Great Barrington,MA,Massachusetts,8430,35.6,Berkshire
1235,42.42975,-73.07240999999999,Hinsdale,MA,Massachusetts,2766,23.4,Berkshire
1236,42.26658,-73.3767,Housatonic,MA,Massachusetts,1509,121.3,Berkshire
1237,42.54971,-73.26265,Lanesborough,MA,Massachusetts,2496,15.6,Berkshire
