,id,host_since,city_y,property_type,year
10247,16753368,2014-09-26,Santa Monica,Condominium,2014
6136,10056170,2014-09-26,Venice,House,2014
17841,14445529,2014-09-26,Pasadena,House,2014
17511,5933788,2014-09-27,Northridge,House,2014
14969,9507100,2014-09-27,Playa Del Rey,Condominium,2014
18861,15959464,2014-09-27,Los Angeles,Apartment,2014
15176,7480520,2014-09-27,Lawndale,House,2014
11929,4387007,2014-09-27,Long Beach,House,2014
17092,20560553,2014-09-27,La Habra,Apartment,2014
13306,16598738,2014-09-27,Venice,Apartment,2014
21021,14727701,2014-09-27,Lawndale,House,2014
16232,16470794,2014-09-27,Pacific Palisades,House,2014
6835,14468628,2014-09-27,Los Angeles,Condominium,2014
8521,7759598,2014-09-27,Los Angeles,Apartment,2014
2297,11590000,2014-09-27,Pasadena,Townhouse,2014
12238,15969978,2014-09-28,Santa Monica,Townhouse,2014
6570,12154870,2014-09-28,Santa Monica,Townhouse,2014
2216,7347908,2014-09-28,Santa Monica,Townhouse,2014
8167,4493744,2014-09-28,Altadena,Cabin,2014
3137,848853,2014-09-28,Pasadena,Apartment,2014
4597,17777898,2014-09-28,Los Angeles,House,2014
19275,16647712,2014-09-28,Los Angeles,House,2014
6661,13830851,2014-09-28,North Hollywood,House,2014
5422,12129324,2014-09-28,Santa Monica,Townhouse,2014
2820,12603918,2014-09-29,Los Angeles,Apartment,2014
1671,14451659,2014-09-29,Los Angeles,House,2014
13426,13685207,2014-09-29,Los Angeles,House,2014
16586,6452019,2014-09-29,Santa Clarita,House,2014
9222,4365328,2014-09-29,Los Angeles,Apartment,2014
9032,11045529,2014-09-29,Rowland Heights,House,2014
16615,4038794,2014-09-29,Los Angeles,Bed & Breakfast,2014
10227,14951857,2014-09-29,Los Angeles,House,2014
7320,15860884,2014-09-29,Los Angeles,House,2014
2033,10812780,2014-09-29,Los Angeles,Apartment,2014
15263,2483350,2014-09-29,Los Angeles,House,2014
15527,15598895,2014-09-29,Sunland,House,2014
489,2661063,2014-09-29,North Hollywood,Apartment,2014
1445,7706638,2014-09-29,Los Angeles,Bed & Breakfast,2014
5622,12982324,2014-09-30,Studio City,House,2014
7523,13100580,2014-09-30,Los Angeles,Apartment,2014
9799,4662379,2014-09-30,Arcadia,House,2014
7484,15890547,2014-09-30,North Hollywood,House,2014
7837,20017584,2014-09-30,North Hollywood,Apartment,2014
14999,13732842,2014-09-30,Playa Del Rey,Townhouse,2014
5003,15828071,2014-09-30,Los Angeles,Apartment,2014
13201,16481158,2014-09-30,Studio City,Castle,2014
7583,19888622,2014-09-30,Los Angeles,Apartment,2014
20582,1427518,2014-09-30,Van Nuys,House,2014
6292,2105971,2014-09-30,Los Angeles,Bed & Breakfast,2014
1298,4038587,2014-09-30,Los Angeles,Apartment,2014
7177,2031051,2014-09-30,Van Nuys,House,2014
17427,2521327,2014-10-01,Altadena,Apartment,2014
13468,7183253,2014-10-01,Los Angeles,Apartment,2014
14786,3469171,2014-10-01,Los Angeles,House,2014
6481,5892794,2014-10-01,Studio City,Apartment,2014
15418,20849061,2014-10-01,Los Angeles,House,2014
6360,17680498,2014-10-02,Los Angeles,House,2014
5997,14888012,2014-10-02,Los Angeles,Apartment,2014
14932,12013773,2014-10-02,Los Angeles,Apartment,2014
8042,17961571,2014-10-02,Manhattan Beach,House,2014
3955,17821448,2014-10-02,Pasadena,Bungalow,2014
11146,13674362,2014-10-02,Pasadena,Bungalow,2014
16299,13563608,2014-10-02,Hawthorne,House,2014
7575,16931469,2014-10-02,Manhattan Beach,House,2014
5443,1218003,2014-10-02,Los Angeles,Apartment,2014
6717,5330387,2014-10-02,Woodland Hills,House,2014
5550,20486011,2014-10-03,Los Angeles,House,2014
7756,20333369,2014-10-03,Los Angeles,House,2014
4412,17532796,2014-10-03,Santa Monica,Apartment,2014
15385,18174737,2014-10-03,North Hollywood,Apartment,2014
17060,7988012,2014-10-03,Altadena,House,2014
16516,3539618,2014-10-03,Northridge,Apartment,2014
10062,7109313,2014-10-03,Los Angeles,Apartment,2014
9675,10388796,2014-10-03,Los Angeles,Apartment,2014
16438,17495862,2014-10-03,Redondo Beach,Apartment,2014
1913,9404068,2014-10-04,Los Angeles,House,2014
7362,9362234,2014-10-04,Sherman Oaks,Apartment,2014
3654,1964917,2014-10-04,Valley Village,House,2014
16230,11305038,2014-10-04,Topanga,House,2014
20221,12265438,2014-10-04,Topanga,House,2014
16136,3996869,2014-10-04,Los Angeles,Apartment,2014
19665,12032987,2014-10-04,Los Angeles,House,2014
4848,8753649,2014-10-05,Lancaster,House,2014
12811,11758988,2014-10-05,Venice,Apartment,2014
6426,15102111,2014-10-06,West Hollywood,Apartment,2014
21605,6676751,2014-10-06,Los Angeles,Apartment,2014
7045,15309052,2014-10-06,Venice,House,2014
9943,10050351,2014-10-06,Manhattan Beach,House,2014
21612,7525090,2014-10-06,Los Angeles,Apartment,2014
17910,17682410,2014-10-06,Los Angeles,House,2014
10754,4853647,2014-10-06,North Hollywood,Apartment,2014
9667,5143959,2014-10-06,Sherman Oaks,Apartment,2014
10443,5719742,2014-10-06,North Hollywood,Guesthouse,2014
16155,18630906,2014-10-06,Venice,House,2014
5572,15115474,2014-10-06,Los Angeles,Apartment,2014
18516,8425657,2014-10-06,Venice,House,2014
14084,15981246,2014-10-06,Los Angeles,Apartment,2014
17848,15901678,2014-10-07,Los Angeles,Apartment,2014
10039,8131663,2014-10-07,Burbank,Apartment,2014
21055,18087564,2014-10-07,Van Nuys,House,2014
854,8174958,2014-10-07,Van Nuys,House,2014
